,date,country,confirmed,deaths,new_case
3039,2/15/20,Denmark,0,0,0.0
3040,2/15/20,Diamond Princess,285,0,285.0
3041,2/15/20,Djibouti,0,0,-285.0
3042,2/15/20,Dominica,0,0,0.0
3043,2/15/20,Dominican Republic,0,0,0.0
3044,2/15/20,Ecuador,0,0,0.0
3045,2/15/20,Egypt,1,0,1.0
3046,2/15/20,El Salvador,0,0,-1.0
3047,2/15/20,Equatorial Guinea,0,0,0.0
3048,2/15/20,Eritrea,0,0,0.0
3049,2/15/20,Estonia,0,0,0.0
3050,2/15/20,Eswatini,0,0,0.0
3051,2/15/20,Ethiopia,0,0,0.0
3052,2/15/20,Fiji,0,0,0.0
3053,2/15/20,Finland,1,0,1.0
3054,2/15/20,France,12,1,11.0
3055,2/15/20,Gabon,0,0,-12.0
3056,2/15/20,Gambia,0,0,0.0
3057,2/15/20,Georgia,0,0,0.0
3058,2/15/20,Germany,16,0,16.0
3059,2/15/20,Ghana,0,0,-16.0
3060,2/15/20,Greece,0,0,0.0
3061,2/15/20,Grenada,0,0,0.0
3062,2/15/20,Guatemala,0,0,0.0
3063,2/15/20,Guinea,0,0,0.0
3064,2/15/20,Guinea-Bissau,0,0,0.0
3065,2/15/20,Guyana,0,0,0.0
3066,2/15/20,Haiti,0,0,0.0
3067,2/15/20,Holy See,0,0,0.0
3068,2/15/20,Honduras,0,0,0.0
3069,2/15/20,Hungary,0,0,0.0
3070,2/15/20,Iceland,0,0,0.0
3071,2/15/20,India,3,0,3.0
3072,2/15/20,Indonesia,0,0,-3.0
3073,2/15/20,Iran,0,0,0.0
3074,2/15/20,Iraq,0,0,0.0
3075,2/15/20,Ireland,0,0,0.0
3076,2/15/20,Israel,0,0,0.0
3077,2/15/20,Italy,3,0,3.0
3078,2/15/20,Jamaica,0,0,-3.0
3079,2/15/20,Japan,43,1,43.0
3080,2/15/20,Jordan,0,0,-43.0
3081,2/15/20,Kazakhstan,0,0,0.0
3082,2/15/20,Kenya,0,0,0.0
3083,2/15/20,Kosovo,0,0,0.0
3084,2/15/20,Kuwait,0,0,0.0
3085,2/15/20,Kyrgyzstan,0,0,0.0
3086,2/15/20,Laos,0,0,0.0
3087,2/15/20,Latvia,0,0,0.0
3088,2/15/20,Lebanon,0,0,0.0
3089,2/15/20,Liberia,0,0,0.0
3090,2/15/20,Libya,0,0,0.0
3091,2/15/20,Liechtenstein,0,0,0.0
3092,2/15/20,Lithuania,0,0,0.0
3093,2/15/20,Luxembourg,0,0,0.0
3094,2/15/20,MS Zaandam,0,0,0.0
3095,2/15/20,Madagascar,0,0,0.0
3096,2/15/20,Malawi,0,0,0.0
3097,2/15/20,Malaysia,22,0,22.0
3098,2/15/20,Maldives,0,0,-22.0
3099,2/15/20,Mali,0,0,0.0
3100,2/15/20,Malta,0,0,0.0
3101,2/15/20,Mauritania,0,0,0.0
3102,2/15/20,Mauritius,0,0,0.0
3103,2/15/20,Mexico,0,0,0.0
3104,2/15/20,Moldova,0,0,0.0
3105,2/15/20,Monaco,0,0,0.0
