,date,confirmed,deaths,new_case,mortality
95,2020-04-05,1249735,73076,73678.0,0.05847319631761934
96,2020-04-06,1321425,78767,71690.0,0.05960762056113665
97,2020-04-07,1396436,86662,75011.0,0.06205941410848761
98,2020-04-08,1480198,93354,83762.0,0.06306858947248949
99,2020-04-09,1565536,100882,85338.0,0.06443927191709421
100,2020-05-01,3343771,238619,1778235.0,0.07136224340721897
101,2020-05-02,3427337,243808,83566.0,0.07113627869100704
102,2020-05-03,3506723,247470,79386.0,0.07057015909155072
103,2020-05-04,3583049,251537,76326.0,0.07020194253553329
104,2020-05-05,3662685,257239,79636.0,0.07023235686388538
